transaction_id,customer_id,product_id,quantity,price,discount,transaction_date,payment_method
1,196,253,6,532.244973541267,0.14669846420362878,2023-01-01 00:00:00,Kapıda Ödeme
2,881,19,6,236.71141144600404,0.09299194271005475,2023-01-01 06:00:00,Havale/EFT
3,98,200,8,209.06740591593316,0.04850320392472378,2023-01-01 12:00:00,Kapıda Ödeme
4,605,220,9,908.1745983847436,0.18334900883748925,2023-01-01 18:00:00,Kapıda Ödeme
5,984,136,5,271.32706936823666,0.19987839079841124,2023-01-02 00:00:00,Havale/EFT
6,22,223,1,288.1674615407183,0.20087916497312858,2023-01-02 06:00:00,Kapıda Ödeme
7,450,3,1,418.82336713934114,0.06608620808661082,2023-01-02 12:00:00,Havale/EFT
8,172,451,2,148.0439438784742,0.17860152216670563,2023-01-02 18:00:00,Debit Kart
9,383,236,5,512.2001159790079,0.2716219394575282,2023-01-03 00:00:00,Havale/EFT
10,134,342,4,668.38144408511,0.10595628022889625,2023-01-03 06:00:00,Debit Kart
11,426,465,1,788.1404871565932,0.06323007979255323,2023-01-03 12:00:00,Debit Kart
12,25,228,4,714.3396994455868,0.2316448548062286,2023-01-03 18:00:00,Havale/EFT
13,503,401,4,156.15960443946105,0.05306488204783542,2023-01-04 00:00:00,Kredi Kartı
14,185,142,4,461.5064735212147,0.07612461611846758,2023-01-04 06:00:00,Kredi Kartı
15,85,499,1,48.200338800096645,0.030193318293588744,2023-01-04 12:00:00,Havale/EFT
16,567,9,9,27.62001675373979,0.08036229482240077,2023-01-04 18:00:00,Havale/EFT
17,763,190,3,445.7291140910626,0.12310051986449351,2023-01-05 00:00:00,Kapıda Ödeme
18,144,350,4,260.43088951305276,0.019247358582897334,2023-01-05 06:00:00,Kapıda Ödeme
19,863,405,5,686.5271869246292,0.26151267326919014,2023-01-05 12:00:00,Havale/EFT
20,910,460,7,726.9983789452784,0.1541024376650057,2023-01-05 18:00:00,Kredi Kartı
21,679,165,6,896.4496873126731,0.17643108956655912,2023-01-06 00:00:00,Kapıda Ödeme
22,412,480,5,763.0756884036483,0.11138572693003632,2023-01-06 06:00:00,Kapıda Ödeme
23,224,139,8,57.761681905176275,0.20095056886617355,2023-01-06 12:00:00,Kredi Kartı
24,220,276,1,377.90678025419,0.12953452075530922,2023-01-06 18:00:00,Havale/EFT
25,179,291,7,280.2931182346009,0.22839413236177347,2023-01-07 00:00:00,Kredi Kartı
26,631,53,6,392.2711253288896,0.24642064305462213,2023-01-07 06:00:00,Debit Kart
27,433,175,5,168.47490237901457,0.20155473356595682,2023-01-07 12:00:00,Kapıda Ödeme
28,265,110,7,106.72706265368753,0.14740068575226914,2023-01-07 18:00:00,Kapıda Ödeme
29,954,203,3,525.7746970833166,0.2346808051806683,2023-01-08 00:00:00,Kapıda Ödeme
